order_id,order_date,ship_date,customer_id,customer_name,customer_segment,region,country,product_category,product_sub_category,channel,quantity,unit_price,discount_pct,shipping_cost,order_status,satisfaction_score,_flag_duplicate,_flag_dates,_flag_quantity,_flag_price,_flag_customer,_flag_geo,_flag_satisfaction
ORD-10001,2025-12-09,2025-12-10,CUST-0077,Jordan Young,Enterprise,Middle East,United States,Software,Licenses,Retail,10,23.24,0.43,55.98,Completed,4,,,,,,region_country_mismatch,
ORD-10002,2025-05-31,2025-06-13,CUST-0184,Blake Nguyen,SMB,North America,United States,Services,Consulting,Retail,34,508.57,0.12,119.24,Completed,2,,,,,,,
ORD-10003,2025-04-10,2025-04-17,CUST-0387,Sam Martinez,Enterprise,Middle East,Saudi Arabia,Electronics,Laptops,Retail,28,1291.59,0.12,146.6,Completed,,,,,,,,missing
ORD-10004,2023-03-09,2023-03-12,CUST-0323,Sam Clark,Enterprise,North America,United States,Services,Consulting,Direct Sales,20,329.09,0.08,125.2,Cancelled,4,,,,,,,
ORD-10005,2023-06-05,2023-06-11,CUST-0620,Jamie Clark,Government,Middle East,Qatar,Software,SaaS Subscriptions,Online,29,983.75,0.12,141.17,Completed,4,,,,,,,
ORD-10006,2025-03-08,2025-03-14,CUST-0370,Jordan Chen,Government,North America,United States,Electronics,Accessories,Direct Sales,18,208.95,0.03,64.65,Completed,4,,,,,,,
ORD-10007,2024-05-12,2027-07-11,CUST-0534,Avery Nguyen,Government,Europe,Spain,Furniture,Chairs,Partner,32,296.14,0.06,41.39,Completed,3,,ship_date_far_future,,,,,
ORD-10008,2025-02-17,2025-03-02,CUST-0338,Reese Young,SMB,Latin America,Argentina,Software,Support Plans,Retail,39,1894.82,0.07,47.13,Completed,,,,,,,,missing
ORD-10009,2024-02-14,2024-02-24,CUST-0559,Pat Singh,Consumer,Europe,United Kingdom,Software,Support Plans,Retail,19,1663.41,0.02,127.17,Completed,5,,,,,,,
ORD-10010,2025-12-30,2026-01-08,CUST-0709,Riley Martinez,Government,Latin America,Colombia,Electronics,Accessories,Online,16,0.0,0.12,97.05,Completed,1,,,,zero_unit_price,,,
ORD-10011,2024-03-28,2024-04-05,CUST-0384,Casey King,SMB,Latin America,Argentina,Services,Installation,Retail,2,968.13,0.1,138.08,Completed,2,,,,,,,
ORD-10012,2023-05-18,2023-05-23,CUST-0046,Skyler Hall,Enterprise,North America,United States,Office Supplies,Paper,Retail,48,491.61,0.06,24.02,Cancelled,4,,,,,,,
ORD-10013,2025-03-07,2025-03-08,CUST-0722,Skyler Wilson,SMB,Europe,Germany,Office Supplies,Paper,Online,35,377.98,0.11,68.63,Returned,3,,,,,,,
ORD-10014,2024-09-01,2024-09-11,CUST-0605,Reese Brown,SMB,North America,Mexico,Furniture,Storage,Online,8,370.17,0.24,76.62,Completed,4,,,,,,,
ORD-10015,2024-10-06,2024-10-20,CUST-0462,Sage Garcia,SMB,Middle East,UAE,Office Supplies,Paper,Direct Sales,25,1927.84,0.18,74.25,Completed,4,,,,,,,
ORD-10016,2025-07-25,2025-08-04,CUST-0761,Avery Chen,SMB,Latin America,Colombia,Services,Consulting,Online,35,1647.45,0.13,123.39,Completed,1,,,,,,,
ORD-10017,2023-06-28,2023-07-06,CUST-0121,Morgan Kim,Government,Europe,Germany,Services,Installation,Partner,40,1267.38,0.06,20.89,Cancelled,3,,,,,,,
ORD-10018,2023-07-15,2023-07-18,CUST-0769,Blake Brown,Government,Latin America,Brazil,Office Supplies,Pens,Retail,46,647.58,0.09,126.53,Completed,4,,,,,,,
ORD-10019,2025-01-25,2025-02-02,CUST-0500,Robin Wilson,SMB,Asia Pacific,Japan,Electronics,Networking,Partner,35,798.44,0.34,123.73,Cancelled,4,,,,,,,
ORD-10020,2025-07-30,2025-07-31,CUST-0128,Quinn Lopez,Consumer,Europe,Spain,Software,Licenses,Direct Sales,45,1819.27,0.31,45.28,Completed,5,,,,,,,
ORD-10021,2025-05-29,2025-06-09,CUST-0094,Dakota Wilson,Consumer,North America,United States,Furniture,Lighting,Online,15,1041.29,0.16,1.21,Completed,3,,,,,,,
ORD-10022,2025-02-22,2025-03-07,CUST-0772,Skyler Nguyen,Government,Europe,Germany,Electronics,Laptops,Retail,47,430.05,0.26,137.98,Completed,4,,,,,,,
ORD-10023,2023-06-22,2023-06-26,CUST-0567,Rowan Nguyen,SMB,Middle East,Qatar,Services,Training,Online,43,1752.28,0.07,91.04,Returned,3,,,,,,,
ORD-10024,2023-01-25,2023-01-31,CUST-0325,Reese Anderson,Enterprise,Europe,Spain,Services,Training,Partner,12,1526.64,0.33,115.56,Completed,1,,,,,,,
ORD-10025,2023-06-18,2023-06-29,CUST-0550,Riley Martinez,Enterprise,Middle East,Qatar,Furniture,Storage,Online,33,1842.25,0.34,23.31,Completed,3,,,,,,,
ORD-10026,2023-08-26,2023-09-03,CUST-0627,Avery Martinez,Enterprise,Middle East,UAE,Office Supplies,Pens,Online,9,1404.49,0.06,142.95,Completed,4,,,,,,,
ORD-10027,2024-07-11,2024-07-20,CUST-0066,,Government,Asia Pacific,Japan,Software,SaaS Subscriptions,Partner,37,337.93,0.12,116.0,Completed,5,,,,,missing_name,,
ORD-10028,2023-03-14,2023-03-23,CUST-0732,Sage Nguyen,Government,Latin America,Brazil,Office Supplies,Pens,Direct Sales,21,546.16,0.03,55.92,Cancelled,4,,,,,,,
ORD-10029,2025-07-24,2027-06-01,CUST-0378,Avery Kim,Enterprise,Europe,France,Services,Training,Retail,38,1943.86,0.35,116.38,Completed,5,,ship_date_far_future,,,,,
ORD-10030,2025-02-09,2025-02-23,CUST-0756,Jordan Singh,Government,Asia Pacific,Japan,Furniture,Chairs,Direct Sales,4,1945.26,0.05,41.97,Completed,1,,,,,,,
ORD-10031,2023-05-08,2023-05-15,CUST-0679,Blake Kim,SMB,Europe,Germany,Office Supplies,Binders,Partner,26,1402.95,0.26,47.71,Cancelled,3,,,,,,,
ORD-10032,2024-03-01,2024-03-09,CUST-0316,Jordan Martinez,Consumer,Latin America,Argentina,Electronics,Laptops,Retail,20,1653.64,0.24,6.05,Returned,5,,,,,,,
ORD-10033,2025-07-15,2025-07-24,CUST-0767,Sage Patel,Government,Middle East,UAE,Electronics,Networking,Online,9,247.3,0.02,117.14,Returned,3,,,,,,,
ORD-10034,2025-06-27,2025-07-10,CUST-0132,Dakota Kim,Government,North America,Canada,Electronics,Laptops,Direct Sales,37,869.15,0.25,74.42,Completed,4,,,,,,,
ORD-10035,2025-09-08,2025-09-09,CUST-0090,Avery Singh,Enterprise,Asia Pacific,Singapore,Furniture,Lighting,Retail,34,502.05,0.35,81.55,Completed,1,,,,,,,
ORD-10036,2023-03-02,2023-03-15,CUST-0798,Riley Kim,SMB,Asia Pacific,Japan,Software,Support Plans,Partner,15,1948.09,0.04,98.53,Returned,3,,,,,,,
ORD-10037,2023-12-27,2023-12-31,CUST-0607,,Enterprise,Asia Pacific,India,Services,Consulting,Partner,37,0.0,0.33,125.5,Pending,5,,,,zero_unit_price,missing_name,,
